user_id,label,Account type,Duration of Credit (month),Payment Status of Previous Credit,Purpose,Credit Amount,Savings type,Length of current employment,Instalment per cent,Marital Status,Guarantors,Duration in Current address,Most valuable available asset,Age,Concurrent Credits,Type of apartment,No of Credits at this Bank,Occupation,No of dependents,Telephone,Foreign Worker
84886,1,4,12,4,9,1185,1,3,3,2,1,2,1,27,3,2,2,3,1,1,1
721394,1,4,6,4,0,2080,3,3,1,4,1,2,3,24,3,2,1,3,1,1,1
103992,1,1,6,4,0,1361,1,2,2,3,1,4,1,40,3,2,1,2,2,1,2
166907,1,1,15,4,2,1433,1,3,4,2,1,3,2,25,3,1,2,3,1,1,1
80859,1,1,12,2,2,1657,1,3,2,3,1,2,1,27,3,2,1,3,1,1,1
737603,0,2,12,2,3,1534,1,2,1,4,1,1,1,23,3,1,1,3,1,1,1
113113,1,4,6,2,8,1238,5,1,4,3,1,4,2,36,3,2,1,4,2,2,1
485881,1,2,12,2,0,2002,1,4,3,3,1,4,2,30,3,1,1,3,2,2,1
99162,1,4,18,4,3,1582,4,5,4,3,1,4,3,46,3,2,2,3,1,1,1
771260,1,4,12,2,1,4675,5,2,1,2,1,4,3,20,3,1,1,3,1,1,1
696219,0,1,18,2,2,2462,1,3,2,3,1,2,3,22,3,2,1,3,1,1,1
638624,0,1,18,2,6,750,1,1,4,2,1,1,1,27,3,2,1,1,1,1,1
580067,1,4,12,2,3,1963,1,4,4,3,1,2,3,31,3,1,2,4,2,2,1
452397,1,2,42,1,1,9283,1,1,1,3,1,2,4,55,1,3,1,4,1,2,1
676177,1,2,20,3,1,7057,5,4,3,3,1,4,2,36,1,1,2,4,2,2,1
521367,1,4,6,2,2,1543,4,3,4,1,1,2,1,33,3,2,1,3,1,1,1
465228,1,4,15,2,0,5324,3,5,1,2,1,4,4,35,3,3,1,3,1,1,1
163788,0,4,18,4,0,1530,1,3,3,3,1,2,2,32,1,2,2,3,1,1,1
601635,0,1,15,0,0,950,1,5,4,3,1,3,3,33,3,1,2,3,2,1,1
754577,1,4,30,2,1,4811,5,4,2,2,1,4,2,24,2,1,1,2,1,1,1
19426,0,2,30,4,0,4249,1,1,4,4,1,2,3,28,3,2,2,4,1,1,1
292439,0,2,48,0,9,14421,1,3,2,3,1,2,3,25,2,2,1,3,1,2,1
262997,1,1,12,2,3,1680,3,5,3,4,1,1,1,35,3,2,1,3,1,1,1
266145,1,1,12,2,2,2577,1,3,2,1,1,1,3,42,3,2,1,3,1,1,1
556247,1,4,12,2,0,2133,5,5,4,2,1,4,4,52,3,3,1,4,1,2,1
584948,1,2,12,2,3,1103,1,4,4,3,3,3,1,29,3,2,2,3,1,1,1
782038,1,1,24,2,1,2924,1,3,3,3,3,4,4,63,1,2,1,3,2,2,1
388317,0,1,24,2,3,1823,1,1,4,3,1,2,3,30,2,2,1,4,2,1,1
452181,0,1,48,2,3,6999,1,4,1,4,3,1,1,34,3,2,2,3,1,2,1
34983,0,1,14,2,0,8978,1,5,1,1,1,4,2,45,3,2,1,4,1,2,2
548291,1,1,36,2,2,3620,1,3,1,3,3,2,2,37,3,2,1,3,2,1,1
262316,1,4,24,2,0,1249,1,2,4,4,1,2,1,28,3,2,1,3,1,1,1
430376,1,4,24,2,0,1469,2,5,4,4,1,4,1,41,3,1,1,2,1,1,1
418387,1,4,10,2,1,2848,2,3,1,3,2,2,1,32,3,2,1,3,2,1,1
338480,0,1,24,2,2,3345,1,5,4,3,1,2,2,39,3,1,1,4,1,2,1
124152,0,4,9,2,2,1980,1,2,2,2,2,2,3,19,3,1,2,3,1,1,1
448164,1,4,21,3,2,1591,2,4,4,3,1,3,1,34,3,2,2,4,1,1,1
379491,1,1,30,2,1,3857,1,3,4,1,1,4,2,40,3,2,1,4,1,2,1
354710,1,2,18,4,2,3612,1,5,3,2,1,4,2,37,3,2,1,3,1,2,2
121117,0,1,12,2,2,7865,1,5,4,3,1,4,4,53,3,3,1,4,1,2,1
197308,1,4,18,2,0,2662,5,4,4,3,1,3,2,32,3,2,1,3,1,1,2
19633,1,2,12,2,2,983,4,2,1,2,1,4,1,19,3,1,1,2,1,1,1
718469,1,4,15,4,2,2788,1,4,2,2,2,3,3,24,1,2,2,3,1,1,1
390875,1,1,39,4,2,14179,5,4,4,3,1,4,2,30,3,2,2,4,1,2,1
274487,1,1,24,2,2,7721,5,2,1,2,1,2,2,30,3,2,1,3,1,2,2
248209,1,4,24,4,2,2028,1,4,2,3,1,2,2,30,3,2,2,2,1,1,1
544563,1,4,15,2,1,3812,2,2,1,2,1,4,3,23,3,2,1,3,1,2,1
81059,1,1,12,2,2,652,1,5,4,2,1,4,2,24,3,1,1,3,1,1,1
560204,1,1,24,2,10,1755,1,5,4,2,3,4,1,58,3,2,1,2,1,2,1
760107,1,1,24,2,1,2910,1,4,2,3,1,1,4,34,3,3,1,4,1,2,1
174483,1,4,12,4,3,717,1,5,4,3,1,4,1,52,3,2,3,3,1,1,1
640885,1,1,18,2,0,2249,2,4,4,3,1,3,3,30,3,2,1,4,2,2,1
57015,1,2,48,2,0,8487,5,4,1,2,1,2,3,24,3,2,1,3,1,1,1
787754,1,4,12,2,3,1493,1,2,4,2,1,3,3,34,3,2,1,3,2,1,1
216593,1,2,9,2,3,458,1,3,4,3,1,3,1,24,3,2,1,3,1,1,1
30943,1,3,10,2,2,1275,1,2,4,2,1,2,2,23,3,2,1,3,1,1,1
101691,1,2,36,3,9,9857,2,4,1,3,1,3,2,31,3,2,2,2,2,2,1
400947,1,3,21,2,0,2923,2,3,1,2,1,1,3,28,1,2,1,4,1,2,1
355104,0,1,24,2,3,1987,1,3,2,3,1,4,1,21,3,1,1,2,2,1,1
651193,0,2,18,2,1,12976,1,1,3,2,1,4,4,38,3,3,1,4,1,2,1
721024,1,2,12,2,0,1007,4,3,4,4,1,1,1,22,3,2,1,3,1,1,1
291460,1,2,24,2,3,2896,2,2,2,3,1,1,3,29,3,2,1,3,1,1,1
152541,1,4,15,2,1,1300,5,5,4,3,1,4,4,45,1,3,1,3,2,1,1
671124,1,1,42,2,2,7882,1,4,2,3,3,4,2,45,3,3,1,3,2,1,1
686165,1,4,28,1,1,7824,5,2,3,3,3,4,1,40,1,1,2,3,2,2,1
510422,0,2,24,3,2,2064,1,1,3,2,1,2,2,34,3,2,1,4,1,2,1
414019,1,4,10,4,2,2146,1,2,1,2,1,3,1,23,3,1,2,3,1,1,1
696746,1,2,6,2,3,368,5,5,4,3,1,4,2,38,3,2,1,3,1,1,1
305794,1,4,36,2,6,9055,5,3,2,3,1,4,4,35,3,3,1,2,2,2,1
602825,0,2,12,2,2,1922,1,3,4,3,1,2,2,37,3,2,1,2,1,1,1
423986,1,4,10,2,0,1364,1,3,2,2,1,4,3,64,3,2,1,3,1,2,1
192206,1,4,36,2,9,7409,5,5,3,3,1,2,2,37,3,2,2,3,1,1,1
575886,1,1,6,2,0,662,1,2,3,3,1,4,1,41,3,2,1,2,2,2,1
780976,0,1,6,2,0,14896,1,5,1,3,1,4,4,68,1,2,1,4,1,2,1
772793,1,3,10,2,4,1225,1,3,2,3,1,2,3,37,3,2,1,3,1,2,1
505409,0,2,54,0,9,15945,1,2,3,3,1,4,4,58,3,1,1,3,1,2,1
549510,0,4,24,2,3,3621,2,5,2,3,1,4,3,31,3,2,2,3,1,1,1
399395,0,1,36,2,1,8229,1,3,2,3,1,2,2,26,3,2,1,3,2,1,1
632704,1,3,15,2,9,2687,1,4,2,3,1,4,2,26,3,1,1,3,1,2,1
568174,0,4,36,2,2,3349,1,3,4,2,1,2,3,28,3,2,1,4,1,2,1
680992,0,4,18,2,5,1943,1,2,4,2,1,4,1,23,3,2,1,3,1,1,1
364760,0,2,24,2,0,1246,1,2,4,3,1,2,1,23,1,2,1,2,1,1,1
589482,1,4,12,2,0,640,1,3,4,1,1,2,1,49,3,2,1,2,1,1,1
119974,1,3,24,4,2,3617,5,5,4,3,2,4,4,20,3,1,2,3,1,1,1
474555,1,4,6,4,3,1237,2,3,1,2,1,1,2,27,3,2,2,3,1,1,1
9518,1,1,18,3,6,8471,5,3,1,2,1,2,3,23,3,1,2,3,1,2,1
3623,1,2,30,2,3,2991,5,5,2,2,1,4,3,25,3,2,1,3,1,1,1
46777,0,3,30,3,9,1908,1,5,4,3,1,4,1,66,3,2,1,4,1,2,1
213105,1,2,18,2,1,2779,1,3,1,4,1,3,3,21,3,1,1,3,1,2,1
577945,1,4,30,4,3,3077,5,5,3,3,1,2,3,40,3,2,2,3,2,2,1
726475,1,1,30,2,3,2522,1,5,1,3,3,3,2,39,3,2,1,3,2,1,1
720111,1,1,24,2,2,4169,1,3,4,3,1,4,2,28,3,2,1,3,1,1,1
722382,1,1,18,2,3,3509,1,4,4,2,3,1,1,25,3,2,1,3,1,1,1
749347,1,4,60,3,3,15653,1,4,2,3,1,4,3,21,3,2,2,3,1,2,1
184905,1,3,24,4,3,3148,5,3,3,3,1,2,3,31,3,2,2,3,1,2,1
117141,0,2,27,0,9,8318,1,5,2,2,1,4,4,42,2,3,2,4,1,2,1
